,단지명
0,개포2차현대아파트(220)
1,개포6차우성아파트1동~8동
2,개포우성3차
3,개포자이
4,개포주공1단지
5,개포주공3단지
6,개포주공4단지
7,개포주공5단지
8,개포주공6단지
9,개포주공7단지
10,개포현대200동
11,경남1
12,경남2차
13,리치타운
14,삼익대청아파트
15,새롬(1164-13)
16,성원대치2단지아파트
17,시영
18,우성8
19,"우성9차아파트901동,902동"
20,우찬현대(1260-11)
21,우찬현대(1260-4)
22,주공2
23,포이벨리
24,현대1차101동~106동
25,현대2
26,현대아파트3
27,e-편한세상
28,거평프리젠
29,경남논현
30,논현동월드메르디앙
31,논현동한화꿈에그린
32,논현라폴리움
33,논현베르빌
34,논현파라곤
35,논현프라임아파트
36,논현한가람빌라트
37,동부센트레빌
38,동양파라곤
39,동현아파트1~6
40,두산위브1단지
41,두산위브2단지
42,두영
43,라이헤스빌
44,리더스빌
45,마일스디오빌
46,벨러스빌
47,세호시티라이프
48,스위트캐슬레지던스
49,신동아(22)
50,쌍용
51,우민
52,우성
53,제이빌
54,지고하임(101동)
55,지고하임(102동)
56,"청학아파트에이동,비동,씨동"
57,프라임
58,학동
59,한양빌라트
60,한양수자인어반게이트
61,한진로즈힐
62,한화꿈에그린2차
63,현대넥서스B동
64,힐타워
65,개포우성1
66,개포우성2
67,국제
68,노빌리티빌리지
69,대우아이빌멤버스(891-26)
70,대우아이빌명문가(891-23)
71,대치동우정에쉐르1
72,대치삼성
73,대치아이파크
74,"대치우성아파트1동,2동,3동,5동,6동,7동"
75,대치주성
76,대치하나빌
77,대치한신휴플러스
78,대치현대
79,대치효성
80,동민맥스빌A동
81,래미안대치하이스턴
82,롯데캐슬
83,롯데캐슬리베
84,삼환SOGOOD
85,상지리츠빌카일룸(1009-4)
86,선경1차(1동-7동)
87,선경2차(8동-12동)
88,선경3차
89,선릉역대우아이빌(890-49)
90,선릉역풍림아이원레몬
91,세영팔레스타운
92,신성미소시티
93,쌍용대치2
94,"쌍용대치아파트1동,2동,3동,5동,6동"
95,아름빌(889-74)
96,은마
97,청암빌라트
98,테헤란로대우아이빌(891-6)
99,포스코더샵
100,풍림아이원1차101동(910-3)
101,풍림아이원2차201동
102,풍림아이원2차202동
103,풍림아이원3차(1007-1)
104,풍림아이원4차(1007-2)
105,풍림아이원아파트
106,하이캐슬
107,한보미도맨션1
108,한보미도맨션2
109,한양팰리스
110,한티(933-35)
111,해암프리존
112,현대1
113,SK허브프리모
114,경남
115,그랜빌캐슬
116,대림
117,대림아크로빌
118,대명비발디
119,대우디오빌
120,도곡1차아이파크
121,도곡2차I'PARK
122,도곡3차아이파크
123,도곡렉슬
124,도곡스타클래스
125,도곡쌍용예가
126,도곡우성아파트
127,도곡지웰카운티101동
128,도곡지웰카운티102동
129,도곡푸르지오102동
130,도곡현대힐스테이트105동
131,래미안도곡카운티
132,럭키(462)
133,럭키(963)
134,로덴하우스웨스트빌리지
135,로덴하우스이스트빌리지
136,롯데캐슬모닝
137,매봉삼성
138,삼성
139,삼성래미안
140,삼익
141,삼호
142,아카데미스위트1
143,우성4
144,우성리빙텔
145,우성사원5
146,우성캐릭터199
147,울트라멤버스
148,조이너스도곡
149,중명하니빌
150,타워팰리스1
151,타워팰리스2
152,타워팰리스3
153,하이페리온
154,한신(개포)
155,한신엠비씨
156,현대그린1
157,현대비젼21
158,현대아이리스1
159,현대아파트1동~3동
160,LG선릉에클라트(A)
161,LG선릉에클라트(B)
162,SM드림빌
163,강변삼부아파트
164,금호어울림
165,다우림하우스
166,대우멤버스카운티(101동)
167,대우멤버스카운티(102동)
168,대우멤버스카운티201
169,래미안삼성1차(103-22)
170,래미안삼성1차(105-0)
171,래미안삼성1차(201동)
172,래미안삼성2차
173,레미안삼성1차(101동)
174,롯데캐슬프레미어
175,미켈란107
176,미켈란147
177,블루밍하우스
178,삼부아그레빌
179,삼부아파트(101동)
180,삼성동대성유니드
181,삼성동라테라스
182,삼성동롯데아파트
183,삼성동롯데캐슬킹덤
184,삼성동신도브래뉴
185,삼성동씨엘케이
186,삼성동에스케이뷰
187,삼성동중앙하이츠빌리지
188,삼성동한솔아파트
189,삼성동헤렌하우스2(82-1)
190,삼성동헤렌하우스2(82-4)
191,삼성동힐스테이트 1단지
192,삼성루첸시아
193,삼성리치빌1
194,삼성벨라스빌
195,삼성아셈
196,삼성오네뜨
197,삼성파크
198,삼성팰리스(71-16)
199,삼성펠리스
200,삼성풍림2차아파트
201,상아3
202,상아아파트
203,서광아파트
204,석탑아파트101동
205,세방타운하우스
206,신동아듀크빌
207,쌍용플래티넘
208,아이파크
209,영무예다음
210,우림루미아트
211,우정에쉐르
212,우정에쉐르2
213,진흥아파트
214,채널리저브
215,청구아파트
216,포스코트
217,푸른솔아파트1동
218,풍림(1차)
219,한일
220,현대빌라트
221,현대삼성동1차
222,현대아파트101동
223,현대힐스테이트2단지
224,호산프라자
225,홍실아파트
226,강남데시앙파크
227,강남신동아파밀리에1단지
228,강남신동아파밀리에2단지
229,세곡리엔파크(3단지)
230,까치마을
231,동익
232,수서한아름
233,신동아
234,강남상가
235,대성아파트
236,래미안신사
237,로데오현대
238,신사동닛시빌라트
239,신사아이빌(522)
240,신성아파트101동
241,압구정Ainvill
242,압구정대원칸타빌아파트
243,압구정케이씨씨(622-1)
244,압구정하이츠파크
245,유로미아파트B동
246,진흥아마란스
247,토미
248,하야트빌
249,한양아파트
250,현대아인빌
251,미성1차
252,미성2차
253,신현대11차
254,신현대12차
255,신현대9차
256,한양1차(영동한양)
257,한양2
258,한양3
259,한양4
260,한양5
261,한양6
262,한양7
263,한양8(81동한개동)
264,"현대10차(201,202동)"
265,현대13차(208~211동)
266,"현대14차(203,204,205,206동)"
267,"현대1차(12,13,21,22,31,32,33동)"
268,"현대2차(10,11,20,23,24,25동)"
269,현대3차(61~64동)
270,현대4차저층(51~56동)
271,"현대5차(71,72동)"
272,"현대6차(78~81,83,84,86,87동)"
273,"현대7차(73~77,82,85동)"
274,현대8차(성수현대:91~95동)
275,(828-21)
276,강남서해더블루
277,개나리4
278,개나리SK뷰
279,개나리래미안
280,개나리푸르지오
281,갤러리하우스
282,경남아너스빌
283,경일역삼
284,공간쉐르빌
285,노블스위트
286,대림역삼
287,대명벨리온
288,대우디오빌플러스
289,래미안그레이튼
290,래미안그레이튼(진달래2차)
291,래미안펜타빌
292,로얄팰리스
293,리츠빌아파트
294,리치타워
295,베스젠빌
296,브라운스톤역삼
297,성영forU
298,세방하이빌1
299,세방하이빌2
300,세종빌라트
301,쌍용플레티넘밸류
302,쎄비앙102동
303,에스케이허브젠
304,역삼2차아이파크
305,역삼I'PARK
306,역삼동골든베리힐
307,역삼동우정에쉐르1
308,역삼동월드메르디앙
309,역삼동칼라
310,역삼동프라임
311,역삼동하나빌
312,역삼디오슈페리움
313,역삼래미안
314,역삼르비앙1
315,역삼엔스위트1
316,역삼엔스위트102동
317,역삼예명
318,역삼우성
319,역삼우정에쉐르2
320,역삼이안애비
321,역삼이안애에이
322,역삼카이스아파트
323,역삼푸르지오
324,예지인
325,요진와이시티미니
326,우림루미아트2
327,우성빌라트
328,우정에쉐르3
329,우정에쉐르멤버스
330,은하수
331,정원
332,조이너스
333,지석천평대
334,진넥스빌2
335,탑팰리스
336,트레벨
337,풍림지오빌
338,프리마빌
339,한스빌(836)
340,한양럭스
341,한화진넥스빌
342,현대까르띠에710
343,현대휴먼터치빌
344,강남한양수자인(4단지)
345,가람
346,개포한신
347,대우
348,목련타운
349,상록수
350,샘터마을
351,수서
352,우성7
353,푸른마을아파트101동~111동
354,한솔마을
355,현대4
356,현대사원
357,래미안포레
358,구산
359,대우로얄카운티2
360,대우리츠카운티
361,대우멤버스카운티Ⅱ
362,대우유로카운티
363,래미안청담로이뷰
364,마크힐스웨스트윙
365,마크힐스이스트윙
366,범신칼릭스빌
367,빌폴라리스
368,삼성청담공원아파트
369,삼성청담아파트
370,삼호빌라A동
371,삼호빌라B동
372,삼환(101동)
373,상지리츠빌(127-16)
374,상지리츠빌4A
375,상지리츠빌4B
376,상지리츠빌5A
377,상지리츠빌5B
378,상지리츠빌6
379,상지리츠빌카일룸2차
380,상지리츠빌카일룸3차
381,상지카일룸
382,아노스카운트빌라트
383,연세리버빌7차B동
384,연세리버테라스
385,연세빌라(102-6)
386,연세힐하우스1
387,영풍마드레빌
388,우성아파트
389,이니그마빌
390,이니그마빌2
391,"청담2차이-편한세상(201동,202동,203동)"
392,청담2차이-편한세상(204동)
393,청담2차이-편한세상(205동)
394,청담3차이-편한세상(301동)
395,청담4차이-편한세상
396,청담8차상지리츠빌
397,청담건영
398,청담대림이-편한세상
399,청담대우멤버스카운티10차
400,청담대우멤버스카운티12차
401,청담대우멤버스카운티6차
402,청담대우멤버스카운티7차
403,청담동마크노빌
404,청담동삼성1차(101동)
405,청담동현대빌라트
406,청담로얄카운티
407,청담매스터빌
408,청담삼익아파트
409,청담신원아침도시마인
410,청담아이파크
411,청담우방아파트
412,청담자이
413,청담파크빌
414,청담현대3차아파트
415,청담힐(에이동)진도(비동)
416,한신오페라하우스
417,현대빌라(43-1)
418,현대아파트
419,현대아파트(75-1)
420,현대한강빌라
421,휴먼스타빌
422,강일리버파크10단지
423,강일리버파크1단지
424,강일리버파크2단지
425,강일리버파크3단지
426,강일리버파크4단지
427,강일리버파크5단지
428,강일리버파크6단지
429,강일리버파크7단지
430,강일리버파크8단지
431,강일리버파크9단지
432,고덕리엔파크1단지
433,고덕리엔파크2단지
434,고덕 아이파크
435,고덕시영
436,배재현대
437,삼익그린12
438,아남1
439,SM빌
440,SM해그린12차
441,강동LG자이
442,강동렘브란트
443,강동역에스케이허브
444,강동큐브
445,강동큐브(2차)
446,강동한신휴플러스
447,골드빌4차
448,광남(355-2)
449,광남벨라스613V
450,광남아파트101동
451,광남아파트102동
452,광남캐스빌(247-0)
453,광남캐스빌(389-9)
454,광남캐스빌610V
455,길동3차이룸
456,길동쎈스빌주상복합
457,길동우성
458,다성이즈빌
459,다성이즈빌(349-1)
460,다성이즈빌아파트(388-4)
461,다성이즈텔
462,다성팰리스
463,대상
464,도림씨티빌1
465,동삼빌라트
466,동서울오네뜨
467,동심훼밀리
468,라인
469,메트로아파트
470,삼익세라믹
471,삼익파크맨션
472,서한베네치아
473,시가오?에이동
474,신대길파크하임
475,신동아3
476,신동아4
477,신세대빌라트
478,신암
479,신암가온
480,양촌
481,에스엠이로빌(379-0)
482,에이치비골드빌(102동)
483,에이치비골드빌(103동)
484,엠프라자아파트(152-3)
485,예건타워빌
486,예다움
487,예전이룸1차
488,예전이룸2차
489,유덕휴먼빌
490,이스트드림힐
491,장인이즈빌
492,청광플러스원큐브2차
493,청원파크빌2
494,청원파크빌3
495,태성
496,태흥
497,하나플러스
498,하이브
499,하이존
500,한건
501,한빛골드빌1차
502,한솔브리즈
503,한전우성1
504,해맞이비동
505,해맞이에이동
506,형인허브빌아파트
507,희훈리치파크1
508,KNP이스트빌
509,KNP주상복합1
510,경방필하우스
511,광남캐스빌(631)
512,광남캐스빌101동
513,광남캐스빌103동
514,광남캐스빌105동
515,노바
516,동아
517,동호리츠빌
518,둔촌주공1단지
519,둔촌주공2단지
520,둔촌주공3단지
521,둔촌주공4단지
522,둔촌푸르지오
523,둔촌하이츠
524,라이프101동(544)102동(544-1)
525,미랜드퀸아파트102동
526,상상프리
527,성원
528,세양청마루
529,신동아파밀리에
530,신성둔촌미소지움1
531,신성둔촌미소지움2
532,아인리베
533,암펠로스타워
534,주풍그린빌라트
535,찬솔
536,청원파크빌
537,초원동아
538,케이엔피로얄
539,프라자
540,한솔
541,한솔솔파크
542,현대1차아파트
543,현대3
544,KNP
545,고덕삼환아파트
546,고덕주공9
547,다성씨티(1차)
548,다성씨티(2)
549,다성이즈빌(346-10)
550,다성이즈빌(명일4차)
551,명일동다성이즈빌아파트
552,명일우성
553,명일지에스아파트
554,명일진로
555,삼익가든
556,삼익그린11차
557,삼익그린1차
558,삼익그린2차
559,삼환
560,에스엠해그린
561,우성101동
562,우성102동
563,우성103동
564,중앙
565,태천해오름101동
566,한양
567,현대(고덕)
568,현대(명일)
569,형인허브빌
570,고덕리엔파크3단지
571,주공3
572,주공4
573,주공5
574,주공6
575,주공7
576,중앙하이츠
577,LIGA
578,경보그레이스힐
579,광남벨라스타워
580,광남캐스빌(435-7)
581,광남캐스빌(448-5)
582,광남캐스빌3
583,금광포란재
584,늘조은
585,대주그린빌
586,동남1
587,동남2
588,동남드림빌
589,동방
590,동아1
591,동아2
592,동원
593,동원2
594,둔촌역아치스톤(101동)
595,둔촌역청구
596,드림스빌
597,라움
598,메이저
599,몽촌토성
600,미랜드프레임빌
601,백룡도원
602,비앤비(101동)
603,비앤비(102동)
604,삼진
605,새한올림픽
606,샤인빌(A동)
607,선광
608,성내1차e-편한세상
609,성내2차e-편한세상
610,성내3차e-편한세상
611,성내동AURAⅡ
612,성내동대성
613,성내동삼성아파트
614,성안마을청구
615,센츄럴(438-6)
616,신성
617,신이모닝빌
618,신일유토빌(603-0)
619,신호빌라트
620,씨제이나인
621,에스케이허브진
622,올림픽파크힐
623,용명브릿지2차
624,우성(102동)
625,원다빌2
626,이안강동
627,일심
628,중명
629,청구빌라트
630,코오롱(1차)
631,코오롱2
632,타운빌라트
633,탑건위너빌
634,태천
635,태천해오름
636,태천해오름(412-1)
637,태천해오름15차
638,파라디아
639,파크프라자
640,포레스(A동)
641,포레스(B동)
642,포레스(C동)
643,하나플러스ll
644,한강훼미리
645,한솔애리즈(405-5)
646,한솔애리즈(438-56)
647,한솔애리즈1
648,한솔애리즈202동
649,한솔애리즈2차
650,한솔애리즈3차
651,한솔애리즈501동
652,한솔애리즈601동
653,해가든
654,해가든(454-1)
655,현대
656,현대토파즈
657,내일쎄닛빌
658,다성이즈빌Ⅰ
659,대명
660,대원
661,대은팰리스뷰(101)
662,대은팰리스뷰(102)
663,동양넥스빌
664,동원베네스트
665,롯데캐슬퍼스트
666,메이저(474-21)
667,삼성광나루
668,새롬
669,선사현대아파트
670,암사e편한세상
671,암사동한솔
672,암사라인
673,양지벨로스
674,영상라이브센스
675,영진해가든(1동)
676,영진해가든(2동)
677,우암쎈스뷰
678,정산(102동)
679,정산(103동)
680,평대정원
681,프라이어팰리스
682,한강리치팰리스
683,한강포스파크
684,한강현대
685,한건브리앙
686,현대홈타운
687,효정하나플러스
688,SM이로빌아파트
689,강동상떼빌
690,강동역두산위브센티움
691,강동이루미아파트
692,강변그대가갤럭시
693,강변그대가리버뷰
694,고려아파트(B동)
695,고려아파트(C동)
696,골드하임(101동)
697,골드하임(102동)
698,광남벨라스643V(50-7)
699,광남캐스빌아파트
700,그랜드밸리아파트
701,금성타운
702,금호아파트
703,다성시티아파트
704,다성씨티아파트
705,다성이즈빌(437-22)
706,다성이즈빌(50-11)
707,다성이즈빌아파트(55-25)
708,대명사이버아파트
709,대우한강베네시티
710,동구햇살아파트
711,동아코아아파트
712,동아하이빌아파트
713,두산위브센티움
714,베네캐슬
715,보람아파트
716,브라운스톤암사아파트
717,삼익아파트
718,새롬트윈스아파트(A동)
719,성원아파트
720,성인아파트
721,시티빌아파트
722,신동양빛여울아파트
723,신주아파트(102동)
724,신주아파트(313)
725,썬팰리스아파트
726,아크로파크
727,용명브릿지아파트
728,우정아파트
729,우정에쉐르(101동)
730,우정에쉐르(102동)
731,유원아파트
732,율전에버그린아파트
733,이연아마빌레(293-8)
734,즈믄촌
735,지원G델타아파트
736,천호1차우림루미아트
737,천호2차우림루미아트
738,천호2차이룸아파트
739,천호KNP아파트
740,천호e-편한세상
741,천호동1차예전이룸아파트
742,천호동삼성아파트
743,천호동이연아마빌레아파트
744,천호롯데아파트
745,천호엘크루
746,천호태영아파트
747,코오롱상가아파트
748,태천와이드빌
749,태천해오름아파트
750,평대미진아파트
751,평대보민아파트
752,하이브2
753,한건브리앙아파트
754,한신아파트
755,현대코아아파트
756,현대프라자아파트
757,현진에스페랑스
758,경남아너스빌(1356-0)
759,두산위브트레지움
760,두원프라자
761,래미안트리베라1단지
762,미아1차래미안
763,미아동부센트레빌
764,미아신구
765,미아한일유앤아이
766,벽산라이브파크
767,삼각산아이원
768,삼성래미안트리베라2단지
769,성북프라자
770,송천센트레빌
771,신대상
772,신일
773,신일해피트리
774,에스케이북한산시티
775,요진
776,월드
777,월드빌라(311-10)
778,이너스내안에
779,인성
780,젬스톤타운
781,태솔
782,현대(190-2)
783,현대성우
784,현대캐슬
785,기산그린
786,꿈의숲수림채
787,다우(459-63)
788,동문
789,백운
790,번동금호어울림
791,번동솔그린
792,번동한양아파트
793,수유역두산위브1
794,수유역두산위브2
795,신원
796,오동공원현대
797,완성
798,주공1단지
799,주공4단지
800,한진
801,해모로아파트
802,현대(148-494)
803,현대꿈에그린
804,효성인텔리안
805,훼밀리힐
806,FIRSTVIEW
807,극동
808,다경하이빌
809,대림(수유)
810,래미안수유
811,부강쉐르빌
812,삼성빌리지(223-14)
813,삼성타운
814,성덕
815,세영
816,수유벽산1차
817,수유벽산2차
818,수유삼호
819,수유현대
820,썬힐하우스
821,영남
822,우암센스뷰
823,은석
824,진명
825,청솔(269-25)
826,청솔리치
827,태솔캡슬
828,태솔타운
829,파크(가)
830,파크(나)
831,풍산쉐르빌A동
832,형인휴아름
833,훼밀리
834,다인플레움
835,북한산굿모닝
836,성원상떼빌
837,가양1차보람더하임
838,가양2단지(성지)
839,가양6단지
840,가양강나루현대
841,가양도시개발9-2단지
842,가양우성
843,강나루2현대
844,강변
845,강서한강월드메르디앙
846,강서한강자이
847,대림경동아파트
848,대아
849,동신대아
850,보광드림타운
851,빛고을우방
852,일신건영휴먼빌
853,한강타운
854,한림타운
855,한보구암마을
856,공항동부센트레빌
857,청성스카이
858,해태
859,강성레스빌
860,광남캐스빌
861,광성금강
862,그린씨티
863,길성그랑프리텔
864,낙원연립재건축조합아파트
865,내발산우신웨스트빌
